roundness,hu0,hu1,hu2,hu3,hu4,hu5,hu6,sonka0,sonka1,sonka2,sonka3,complexity,fourier0,fourier1,fourier2,fourier3,fourier4
-0.8664191731139999,0.5889747169572036,-0.3084185392640106,0.6869271992377767,-0.39333100591501996,-0.25159658446545313,-0.21558427919236497,0.37205953617282644,1.5083490767289847,-0.7658025619487099,-2.259957452123793,0.34164238136575986,-0.2625837043157444,(0.4315059010442923+0.13075078209578248j),(0.6839623110345132-0.4075777576066988j),(0.4993379449686317+0.18964189673818482j),(0.26637595574783574+0.10547862266252658j),(0.005542676054381121+0.6696379634814515j)
-0.5663734892356328,-0.34440208981494264,-0.611127636983182,-0.758378279301215,-0.5075139211900511,-0.31211678442283053,-0.3425005810490635,0.36325654443982186,0.3250296585994168,-0.059829645065506934,0.5880679917733284,0.19444633265696815,0.5718847670654132,(-0.0030455744435902796-0.0029573642081814062j),(-0.17656361322768716+0.12708058774279168j),(0.09651185652788462-0.49816642966785496j),(0.1570814089172217-0.14602515865191557j),(-0.18386364719368256+0.6975837510784438j)
-0.7211360833557354,-0.0681205084282381,-0.5018534124347426,-0.6167927070268366,-0.4927951309023123,-0.31727358324165655,-0.3455118475930459,0.36008144550458976,0.5955680943011331,-0.052714742802179894,0.3869324231038783,0.23223894424467376,-0.16251864904911031,(0.3628133408806309+0.06205822193212102j),(0.3786807174400086-0.305885290199654j),(-0.9782471314497363+0.004722038881235735j),(-1.2562018785738263+0.7081183252749319j),(0.22083725703190013-0.7173098153469913j)
0.11130922442322615,-1.1814782977477833,-0.6422183825982097,-0.8292377046449115,-0.594346967619571,-0.30871603756651467,-0.32850843820341247,0.37208122572774094,-0.8463205299633247,-0.07261389928828495,0.6189354454056765,0.20896781399492517,5.758681085889036,(-0.3582078380634944-0.5407983827158761j),(0.009802426477080607+0.6077321503837357j),(0.12393442895727397+0.2032189026550301j),(-0.30924791301060855+0.3049626502948048j),(0.09933787075657806+0.006486117975059468j)
-1.1691236072226119,-0.05785625145341984,-0.22239634692058743,-0.7354567261607797,-0.5943036964002374,-0.3100262502711362,-0.3459018635259949,0.37448966638500125,0.08366378809877573,-0.07228484960670191,0.5232481507754627,0.22010991366252428,-0.13819817561358824,(-0.21146314749489395-0.19215439122829028j),(-0.2330364389829176+0.28426274068546886j),(0.16640578390628713-0.12319765408074972j),(0.3082409201640088-0.05800732234709315j),(-0.581940208578177+0.26914662650471843j)
1.9643047447764164,-0.8206470887522453,-0.5229940556428341,-0.5791685494907853,-0.35117886500766077,-0.33878959075200693,-0.4056827338344263,0.3737554857145737,-0.5823529065700214,0.012696818351817159,0.6121733437180099,0.15537441180969147,-0.36406024572863627,(-0.5509147039240823-0.7487145502185399j),(0.11525823350044077+0.8094077249159902j),(0.0007996898236934597+0.41084229128613303j),(-0.1569408220051734+0.42359438543842004j),(-0.09504970078385369+0.062212485174850375j)
-0.08912766234776442,1.737733852680621,2.271487882007374,1.9526573026570748,2.19583742074036,2.216758792048921,2.3125574015576182,-2.3698805659954036,-0.6657620640743747,-0.28046573507497885,-0.5812363422557819,-3.2868644664362674,0.008593361540053954,(0.09088439833494434-0.11878204594399011j),(0.22119110845459633-0.06671907897601896j),(0.8692616107154381+0.2359356218597797j),(-0.011060901968717757+0.8186541391669451j),(0.36402057901468976-0.08431718987579798j)
-0.7108526304716415,-0.1649970429923363,-0.5183010666152693,-0.6196059079009206,-0.4563832742510919,-0.3187343656513998,-0.345689992241635,0.3507533430167623,0.4551448279381419,-0.04260411877559426,0.43530318227342146,0.30190105938727757,0.30155945905854276,(-0.25224413211760294-0.5402969771672362j),(0.04137073376376294+0.4178183317896655j),(-0.426285598286351+0.4447615919550059j),(-0.4781842861350178+0.8179897981702265j),(-0.21740364867096457-0.32027932621370236j)
-0.0627383055040432,1.7503030895002254,2.27685055541224,2.0319897687460524,2.346513383531852,2.4858769169939903,2.52640740986679,-2.50485803135006,-0.6427478558277693,-0.29088059110432024,-0.6210437590295478,-3.529726436523232,-0.356686943137229,(-0.21631006779841266-0.3307094578357728j),(0.41592450751690657+0.46851961822379234j),(0.3207836433475524+0.15954404100479574j),(-0.027247159237256683+0.41277197148145484j),(-0.24640003798892338-0.19820400341238426j)
0.22622195255821168,-0.8125513786293336,-0.4954060263867546,-0.3124136333488325,-0.5328238154817587,-0.2979746134014974,-0.289698283086625,0.3713585787231138,-0.6230123878002982,-0.15493676286071242,-0.054166753773426835,0.33025201443284824,-0.308864942334135,(-0.45899035334010707-0.6880444788331163j),(-0.01708820711962451+0.7480068509912245j),(-0.08914882977832697+0.4208038830480823j),(-0.2892300442266868+0.4498591865915539j),(-0.024996565994678414+0.007640908130972316j)
0.6262012387467742,-1.4771465867873332,-0.6526688887933192,-0.843451515073423,-0.6276132690141469,-0.3084170465836034,-0.3253521078113438,0.37340720776380143,-1.1828573793254067,-0.07408242700168528,0.6148183078097615,0.20815916236357926,-0.10214972711179211,(-0.5087966378383336-0.7012481582806327j),(0.10584978882600782+0.7598741898795959j),(-0.015451050415961799+0.33869487009414784j),(-0.17178821160828422+0.4171146501784387j),(-0.12944971342221107+0.0723049273419904j)
1.9643047447764164,-0.8206470887522453,-0.5229940556428341,-0.5791685494907853,-0.35117886500766077,-0.33878959075200693,-0.4056827338344263,0.3737554857145737,-0.5823529065700214,0.012696818351817159,0.6121733437180099,0.15537441180969147,-0.31971263187127924,(-0.5509147039240823-0.7487145502185399j),(0.11525823350044077+0.8094077249159902j),(0.0007996898236934597+0.41084229128613303j),(-0.1569408220051734+0.42359438543842004j),(-0.09504970078385369+0.062212485174850375j)
1.2291679141338112,-0.23556567907458587,-0.36518630214414904,-0.233320866247834,-0.04418358881634663,-0.4373483715823406,-0.5598298020051652,0.42158475559797726,0.042299746840491384,0.28823055951382826,0.6614465571556637,0.2726983524235334,-0.3286433844608363,(-0.3311319384369416-0.5133882127235635j),(0.008755763305169771+0.5219664956992993j),(0.05073891279045595+0.15355920701863413j),(0.21584503187561072+0.42872650188321393j),(-0.36645664586008797+0.2580648068900539j)
-0.03410408650383898,1.5871068385961529,0.05277582140888341,1.4760583623007941,1.8002132998291667,-2.297037021918262,-1.789591990172892,1.473458718144849,3.15283485174769,5.681470636184447,1.4373067890470865,-0.9189831513903658,0.11780440486103626,(1.1239469637159452+1.7335771859145492j),(-1.218565410537814-1.4355293990051745j),(0.15791779087185728-2.0918152350745713j),(2.3713654247707154-2.252135792900674j),(3.0072918416545047+1.204481345047885j)
-0.8996730974988,0.6042256293308803,-0.28713158291786406,0.7034043020084356,-0.3523093505508324,-0.23711202697839548,-0.1945512399496447,0.3728264856911435,1.500051164059221,-0.755867092365433,-2.2380170759228992,1.474987435405706,-0.19230460884180767,(-0.23920758785296647-0.15337902880014076j),(-0.07524853180300153+0.16162560489219419j),(0.053007817516906176+0.15155652412990986j),(-0.20737941332161539+0.147785403964526j),(0.11326861031614124+0.269025645007959j)
